2018112016235332012106096037	LH17CKKFX6H002562
2018112109074832010014643709	LFMA7E2A1E0044807
2018112109220432010007101380	LSGDC82D57E031091
2018112109241932010014542932	LBEYFAKD2EY310907
2018112109262432010016910870	WMWXM7105H2E07628
2018112109311932010005008262	LHGGD182352008612
2018112109315132010009038296	JF1SH52F79G069147
2018112109351632010002033066	LDC333E2X10009401
2018112109403532010011193505	LBELMBNC8BY090919
2018112109421732010013489607	LJ166A334D7024881
2018112109414632010003031163	LSVHH133X22274883
2018112109433232010013231685	LE4GG8BB8DL241519
2018112109510632010014256293	LSGPB64U0ED149117
